Academic Year,LSS Number,LSS Name,School Number,School Name,AP Subject Group,Students Tested,Number of Exams,Exams per Student,Mean Grade per Exam,Exams with Grades 3-5,% Exams with Grades 3-5,Create Date
2019,03,Baltimore County,0972,Parkville High & Center for Math/Science,All World Languages & Cultures,*,*,*,*,*,*,20200210
2019,03,Baltimore County,0973,Loch Raven High,All Subjects,202,401,2,2.47,174,43.4,20200210
2019,03,Baltimore County,0973,Loch Raven High,All Arts,*,*,*,*,*,*,20200210
2019,03,Baltimore County,0973,Loch Raven High,All English,71,71,1,2.66,34,47.9,20200210
2019,03,Baltimore County,0973,Loch Raven High,All History & Social Science,146,182,1.2,2.22,64,35.2,20200210
2019,03,Baltimore County,0973,Loch Raven High,All Math & Computer Science,61,73,1.2,2.77,42,57.5,20200210
2019,03,Baltimore County,0973,Loch Raven High,All Sciences,43,50,1.2,2.5,19,38,20200210
2019,03,Baltimore County,0973,Loch Raven High,All World Languages & Cultures,19,19,1,2.42,9,47.4,20200210
2019,03,Baltimore County,0975,George W. Carver Center for Arts & Technology,All Subjects,278,547,2,3.66,456,83.4,20200210
2019,03,Baltimore County,0975,George W. Carver Center for Arts & Technology,All Arts,77,85,1.1,4.25,80,94.1,20200210
2019,03,Baltimore County,0975,George W. Carver Center for Arts & Technology,All English,119,119,1,3.7,101,84.9,20200210
2019,03,Baltimore County,0975,George W. Carver Center for Arts & Technology,All History & Social Science,142,161,1.1,3.55,135,83.9,20200210
2019,03,Baltimore County,0975,George W. Carver Center for Arts & Technology,All Math & Computer Science,64,77,1.2,4.1,72,93.5,20200210
2019,03,Baltimore County,0975,George W. Carver Center for Arts & Technology,All Sciences,68,68,1,2.81,37,54.4,20200210
2019,03,Baltimore County,0975,George W. Carver Center for Arts & Technology,All World Languages & Cultures,37,37,1,3.3,31,83.8,20200210
2019,03,Baltimore County,1171,Perry Hall High,All Subjects,288,658,2.3,3.14,460,69.9,20200210
2019,03,Baltimore County,1171,Perry Hall High,All Arts,11,11,1,4.09,*,>= 95.0,20200210
2019,03,Baltimore County,1171,Perry Hall High,All English,98,99,1,3.17,70,70.7,20200210
2019,03,Baltimore County,1171,Perry Hall High,All History & Social Science,208,256,1.2,3.48,208,81.3,20200210
2019,03,Baltimore County,1171,Perry Hall High,All Math & Computer Science,97,105,1.1,3.24,83,79,20200210
2019,03,Baltimore County,1171,Perry Hall High,All Sciences,126,170,1.3,2.41,75,44.1,20200210
2019,03,Baltimore County,1171,Perry Hall High,All World Languages & Cultures,17,17,1,3.71,13,76.5,20200210
2019,03,Baltimore County,1272,Patapsco High & Center for Arts,All Subjects,154,229,1.5,2.25,92,40.2,20200210
2019,03,Baltimore County,1272,Patapsco High & Center for Arts,All Arts,35,38,1.1,3.37,29,76.3,20200210
2019,03,Baltimore County,1272,Patapsco High & Center for Arts,All English,41,41,1,2.32,17,41.5,20200210
2019,03,Baltimore County,1272,Patapsco High & Center for Arts,All History & Social Science,97,105,1.1,2.07,35,33.3,20200210
2019,03,Baltimore County,1272,Patapsco High & Center for Arts,All Math & Computer Science,20,22,1.1,1.95,9,40.9,20200210
2019,03,Baltimore County,1272,Patapsco High & Center for Arts,All Sciences,22,22,1,1.32,*,<= 5.0,20200210
2019,03,Baltimore County,1272,Patapsco High & Center for Arts,All World Languages & Cultures,*,*,*,*,*,*,20200210
2019,03,Baltimore County,1273,Dundalk High,All Subjects,112,154,1.4,1.9,37,24,20200210
2019,03,Baltimore County,1273,Dundalk High,All Arts,*,*,*,*,*,*,20200210
2019,03,Baltimore County,1273,Dundalk High,All English,17,17,1,1.53,2,11.8,20200210
2019,03,Baltimore County,1273,Dundalk High,All History & Social Science,76,81,1.1,1.74,18,22.2,20200210
2019,03,Baltimore County,1273,Dundalk High,All Math & Computer Science,33,36,1.1,1.92,5,13.9,20200210
2019,03,Baltimore County,1273,Dundalk High,All Sciences,*,*,*,*,*,*,20200210
2019,03,Baltimore County,1273,Dundalk High,All World Languages & Cultures,*,*,*,*,*,*,20200210
2019,03,Baltimore County,1371,Lansdowne High & Academy of Finance,All Subjects,101,150,1.5,2.16,46,30.7,20200210
2019,03,Baltimore County,1371,Lansdowne High & Academy of Finance,All Arts,16,16,1,3.5,15,93.8,20200210
2019,03,Baltimore County,1371,Lansdowne High & Academy of Finance,All English,44,44,1,1.89,7,15.9,20200210
2019,03,Baltimore County,1371,Lansdowne High & Academy of Finance,All History & Social Science,57,63,1.1,1.79,11,17.5,20200210
2019,03,Baltimore County,1371,Lansdowne High & Academy of Finance,All Math & Computer Science,13,14,1.1,1.86,3,21.4,20200210
